POSTE,DATE,Rainfall ,Mean temperature (24 hourly values),ETPGRILLE
67516001,10/29/15,0.2,10.6,0.8
67516001,10/30/15,0.2,8.9,0.5
67516001,10/31/15,0.2,8.3,0.7
67516001,11/1/15,0.8,5.6,0.1
67516001,11/2/15,0,5.4,0.1
67516001,11/3/15,0,4.4,0
67516001,11/4/15,0,7.2,0.2
67516001,11/5/15,0,10.8,0.2
67516001,11/6/15,0.2,13.4,0.9
67516001,11/7/15,0,16.4,1.2
67516001,11/8/15,0,16.2,1.3
67516001,11/9/15,0,16,2.4
67516001,11/10/15,0,13.2,1.9
67516001,11/11/15,0,10.3,0.9
67516001,11/12/15,0,10.2,1.2
67516001,11/13/15,0.4,9.8,0.8
67516001,11/14/15,0,9.3,1.7
67516001,11/15/15,0,12.4,2.5
67516001,11/16/15,0,9.7,1.7
67516001,11/17/15,2,12,0.9
67516001,11/18/15,0,,2.4
67516001,11/19/15,9.3,14.3,2.2
67516001,11/20/15,36.5,8.6,0.3
67516001,11/21/15,3.4,2.8,0.7
67516001,11/22/15,0.6,2.3,0.6
67516001,11/23/15,0,1.2,0.6
67516001,11/24/15,3.6,-0.1,0.2
67516001,11/25/15,1.6,3,0.3
67516001,11/26/15,0,3.9,0.5
67516001,11/27/15,0,0.1,0
67516001,11/28/15,2,2.5,0.6
67516001,11/29/15,0,7.7,0.9
67516001,11/30/15,4,10.6,2.1
67516001,12/1/15,0.2,9.8,1
67516001,12/2/15,0,9.2,0.8
67516001,12/3/15,0,4.9,0.4
67516001,12/4/15,0,6.1,0.1
67516001,12/5/15,0,6.3,0.4
67516001,12/6/15,0,8.5,0.7
67516001,12/7/15,0,9.2,0.8
67516001,12/8/15,1.6,4,0.3
67516001,12/9/15,0,6.7,0.2
67516001,12/10/15,0.2,-0.2,0
67516001,12/11/15,0.2,4.3,0.4
67516001,12/12/15,0,8.4,1
67516001,12/13/15,0,6.8,0.7
67516001,12/14/15,0,1.7,0
67516001,12/15/15,1.6,5.4,0.3
67516001,12/16/15,0.6,9.3,0.1
67516001,12/17/15,0,11.1,0.6
67516001,12/18/15,0,10.7,1
67516001,12/19/15,0,9.2,0.8
67516001,12/20/15,0.4,6.6,0.3
67516001,12/21/15,0,9.8,1.4
67516001,12/22/15,0,10.6,2.1
67516001,12/23/15,0.2,9.1,0.6
67516001,12/24/15,0,10.6,1.3
67516001,12/25/15,0,11.1,1.7
67516001,12/26/15,0.2,8.4,0.8
67516001,12/27/15,0.2,6.5,0.6
67516001,12/28/15,0,2.9,0.1
67516001,12/29/15,0.2,2.1,0.2
67516001,12/30/15,0.2,3.7,0.2
67516001,12/31/15,0.4,4.6,0.1
67516001,1/1/16,0.8,3.6,0
67516001,1/2/16,4.2,4.4,0
67516001,1/3/16,12.1,5.3,0.7
67516001,1/4/16,3.6,5.1,0.8
67516001,1/5/16,3,5.1,0.5
67516001,1/6/16,1,4.5,0.3
67516001,1/7/16,5.8,5.2,0.9
67516001,1/8/16,0,4.9,0.6
67516001,1/9/16,2,4.6,0
67516001,1/10/16,3.6,6.1,0.4
67516001,1/11/16,8.3,5.6,0.7
67516001,1/12/16,1.2,5.3,1.3
67516001,1/13/16,0.2,3.6,0.9
67516001,1/14/16,3,2,0.7
67516001,1/15/16,4,0.5,0.4
67516001,1/16/16,0.2,0.1,0.1
67516001,1/17/16,0,-1.4,0.4
67516001,1/18/16,0,-5,0.3
67516001,1/19/16,0,-5.2,0.1
67516001,1/20/16,0,-6.8,0.1
67516001,1/21/16,0,-3.2,0
67516001,1/22/16,3,-3.4,0.6
67516001,1/23/16,0,3.9,0.1
67516001,1/24/16,0.2,2.2,0.3
67516001,1/25/16,0,5.9,0.7
67516001,1/26/16,0,8.6,1.1
67516001,1/27/16,0,10.5,1.7
67516001,1/28/16,3,8.5,1.3
67516001,1/29/16,0,5.9,1
67516001,1/30/16,4,6.3,1.3
67516001,1/31/16,3.2,7.4,1
67516001,2/1/16,0.2,11.4,1.1
67516001,2/2/16,1,9.6,1.9
67516001,2/3/16,2,4.4,0.9
67516001,2/4/16,3.8,4.7,0.7
67516001,2/5/16,0,6.9,0.7
67516001,2/6/16,0,7,0.9
67516001,2/7/16,5.4,6.2,1.1
67516001,2/8/16,6,8,1.9
67516001,2/9/16,13.7,6.7,1.9
67516001,2/10/16,0.2,3.4,1.1
67516001,2/11/16,0,4,1.2
67516001,2/12/16,2.2,2.5,0.6
67516001,2/13/16,3.2,4.9,0.5
67516001,2/14/16,0.2,5.8,1
67516001,2/15/16,0.2,2.4,0.5
67516001,2/16/16,0,0.7,0.8
67516001,2/17/16,0,0.3,0.4
67516001,2/18/16,0,2.9,0.9
67516001,2/19/16,0.4,2.4,0.9
67516001,2/20/16,3.4,5.3,1.1
67516001,2/21/16,0,11.3,1.6
67516001,2/22/16,1,10.3,1.9
67516001,2/23/16,7.1,4.6,0.6
67516001,2/24/16,0.2,2.9,0.7
67516001,2/25/16,0,2.7,1.3
67516001,2/26/16,0,1.4,1.1
67516001,2/27/16,0,2.1,1.3
67516001,2/28/16,0,2.4,1.5
67516001,2/29/16,0,3.1,1.1
67516001,3/1/16,2.8,3,1.5
67516001,3/2/16,9.1,3.8,0.7
67516001,3/3/16,2.8,2.1,0.6
67516001,3/4/16,4.2,2.7,0.4
67516001,3/5/16,2.4,4.6,1
67516001,3/6/16,2.8,2.5,0.6
67516001,3/7/16,0.8,1.7,0.8
67516001,3/8/16,4.4,1.2,0.8
67516001,3/9/16,0,2.4,1.1
67516001,3/10/16,0,3.7,1.2
67516001,3/11/16,0,4.4,1.2
67516001,3/12/16,0,4.6,2.1
67516001,3/13/16,0,4.6,1.7
67516001,3/14/16,0,4.3,2.1
67516001,3/15/16,1.2,3.2,1.5
67516001,3/16/16,0,4.3,2.2
67516001,3/17/16,0,5.5,1.8
67516001,3/18/16,0,8.2,2
67516001,3/19/16,0,3.6,0.8
67516001,3/20/16,0,5.1,1.8
67516001,3/21/16,0,6.1,1.3
67516001,3/22/16,0.2,7.7,2.3
67516001,3/23/16,0.2,7.2,2
67516001,3/24/16,0.6,7,2.2
67516001,3/25/16,2.6,6.7,0.7
67516001,3/26/16,0,9.1,1.6
67516001,3/27/16,0,8.4,2.7
67516001,3/28/16,3.6,8.2,2.5
67516001,3/29/16,0.2,9.2,2.7
67516001,3/30/16,14.6,9.7,1.3
67516001,3/31/16,4.4,9.5,1.1
67516001,4/1/16,0,5.7,0.6
67516001,4/2/16,0,8.9,1.5
67516001,4/3/16,2,13.3,1.8
67516001,4/4/16,5.6,12.6,1.7
67516001,4/5/16,3.4,10.7,1
67516001,4/6/16,0.4,11.9,2.8
67516001,4/7/16,1,8.1,2.4
67516001,4/8/16,0,8.1,2.4
67516001,4/9/16,0,8.5,2
67516001,4/10/16,0,11.1,2.9
67516001,4/11/16,2.4,11.5,3
67516001,4/12/16,1.6,11.9,3
67516001,4/13/16,6.2,9.9,1.4
67516001,4/14/16,5.8,11,2.6
67516001,4/15/16,9.7,11.2,2
67516001,4/16/16,18.5,10,1
67516001,4/17/16,2,7.4,1.1
67516001,4/18/16,0,8.2,2.4
67516001,4/19/16,0,9.4,2.9
67516001,4/20/16,0,10.7,3.6
67516001,4/21/16,0,13,3.9
67516001,4/22/16,0,13.7,3.3
67516001,4/23/16,1.6,7.1,1.1
67516001,4/24/16,0.4,3.9,1.9
67516001,4/25/16,2.2,4.1,1.3
67516001,4/26/16,1,3.9,1.6
67516001,4/27/16,1,4.7,2.4
67516001,4/28/16,1,5.3,2
67516001,4/29/16,0,8.6,2.5
67516001,4/30/16,24.8,8.7,2.3
67516001,5/1/16,3.6,9.8,1.9
67516001,5/2/16,0,13.5,3.9
67516001,5/3/16,2.4,9.9,2.1
67516001,5/4/16,0,9.9,3.4
67516001,5/5/16,0,12.6,4.1
67516001,5/6/16,0,16.1,4.2
67516001,5/7/16,0,17.9,4.6
67516001,5/8/16,0,18.2,5.7
67516001,5/9/16,2.6,17.9,4.4
67516001,5/10/16,3.2,15.3,2.2
67516001,5/11/16,27.9,15.9,3.6
67516001,5/12/16,14.7,13.1,0.5
67516001,5/13/16,7.1,14,2.8
67516001,5/14/16,0.4,11.2,2.7
67516001,5/15/16,0.2,7.9,2.6
67516001,5/16/16,1,8.7,1.6
67516001,5/17/16,0,11.6,3
67516001,5/18/16,8.5,13.6,3
67516001,5/19/16,0.8,11.9,2.7
67516001,5/20/16,0,14.1,2.9
67516001,5/21/16,0,17.4,4
67516001,5/22/16,5.4,17.3,5.1
67516001,5/23/16,4.2,11.1,1.3
67516001,5/24/16,0.2,10.9,1.2
67516001,5/25/16,0,13.7,3.2
67516001,5/26/16,1.6,17.4,4.3
67516001,5/27/16,0,19.3,4.2
67516001,5/28/16,10.3,18.7,3.9
67516001,5/29/16,12.1,17,2.6
67516001,5/30/16,9,14.9,1.7
67516001,5/31/16,0,14.9,3
